,ka_hh,ka_vv,ka_hv,ka_range,ka_vh
0,0.020467971661983844,0.023338594347992844,0.02333573549368551,-2.37,0.02333573549368551
1,0.013720473968282198,0.020505393989801942,0.02050280072915406,-2.36237060546875,0.02050280072915406
2,0.006730763797874201,0.01374523476069332,0.013743145247240946,-2.3547412109375,0.013743145247240946
3,0.002185740589975098,0.006742581301686809,0.006740830814578613,-2.34711181640625,0.006740830814578613
4,0.0003642839021162088,0.002189364670934563,0.00218789922802841,-2.339482421875,0.00218789922802841
5,4.2179378331499305e-05,0.0003648223925216717,0.0003639507857251702,-2.33185302734375,0.0003639507857251702
6,8.092744937811503e-05,4.229404928618729e-05,4.2263544290644394e-05,-2.3242236328125,4.2263544290644394e-05
7,7.220718741279261e-05,8.112846357426978e-05,8.1715774930468e-05,-2.31659423828125,8.1715774930468e-05
8,3.449961252573408e-05,7.232359694247332e-05,7.304721650548702e-05,-2.30896484375,7.304721650548702e-05
9,1.5418107403228486e-05,3.4484259418674405e-05,3.505777413493831e-05,-2.30133544921875,3.505777413493831e-05
10,6.831298577584127e-06,1.5349085475305787e-05,1.57547670161578e-05,-2.2937060546875,1.57547670161578e-05
11,8.423518953597662e-07,6.764283936955648e-06,7.020661654577782e-06,-2.28607666015625,7.020661654577782e-06
12,1.331458342812195e-06,8.093172393226354e-07,8.818909950048374e-07,-2.278447265625,8.818909950048374e-07
13,6.581132054916671e-06,1.3728371391023184e-06,1.2864677751241502e-06,-2.27081787109375,1.2864677751241502e-06
14,1.0458808096081965e-05,6.718190340223721e-06,6.590175593667443e-06,-2.2631884765625,6.590175593667443e-06
15,1.0694741863606848e-05,1.0661677322745693e-05,1.0581076069093928e-05,-2.25555908203125,1.0581076069093928e-05
16,8.661942317995087e-06,1.0904055205586297e-05,1.0858646497614964e-05,-2.2479296875,1.0858646497614964e-05
17,6.459434315674524e-06,8.83169253643078e-06,8.781213048973385e-06,-2.24030029296875,8.781213048973385e-06
18,5.7045895643497435e-06,6.566677090023949e-06,6.524626602772459e-06,-2.2326708984375,6.524626602772459e-06
19,6.49908826652611e-06,5.738201524785349e-06,5.739816624162082e-06,-2.22504150390625,5.739816624162082e-06
20,7.400767589043587e-06,6.470534980316542e-06,6.496894115560606e-06,-2.217412109375,6.496894115560606e-06
21,7.041217738055781e-06,7.3607889238022025e-06,7.345051992495628e-06,-2.20978271484375,7.345051992495628e-06
22,5.346695800653896e-06,7.050990683000512e-06,6.958085827303263e-06,-2.2021533203125,6.958085827303263e-06
23,3.298548750740486e-06,5.418878707233963e-06,5.286565614770509e-06,-2.19452392578125,5.286565614770509e-06
24,1.9886094977672966e-06,3.38543725773991e-06,3.2782601534973907e-06,-2.18689453125,3.2782601534973907e-06
25,1.726735688956103e-06,2.0398412036644232e-06,1.9826543541517924e-06,-2.17926513671875,1.9826543541517924e-06
26,1.8803192237529058e-06,1.7449270722657631e-06,1.7119615196005192e-06,-2.1716357421875,1.7119615196005192e-06
27,1.695626435958255e-06,1.908502839841697e-06,1.8633534409890013e-06,-2.16400634765625,1.8633534409890013e-06
28,1.0940103030574862e-06,1.7606774425837838e-06,1.692778159907462e-06,-2.156376953125,1.692778159907462e-06
29,4.881655675027738e-07,1.1777268796775018e-06,1.1044254873702533e-06,-2.14874755859375,1.1044254873702533e-06
30,1.4707881509010925e-07,5.522892114261133e-07,4.973440125170729e-07,-2.1411181640625,4.973440125170729e-07
31,2.5332261815672623e-08,1.7371583141533463e-07,1.4696501974530845e-07,-2.13348876953125,1.4696501974530845e-07
32,8.543840921759438e-09,2.7748513218540118e-08,2.1336691236159895e-08,-2.125859375,2.1336691236159895e-08
33,8.448127345158681e-08,1.0282747763372548e-08,1.0542226725645614e-08,-2.11822998046875,1.0542226725645614e-08
34,3.3520783655462916e-07,9.401102133711094e-08,9.744816705602109e-08,-2.1106005859375,9.744816705602109e-08
35,8.760428878292824e-07,3.280166531352516e-07,3.5717757924479266e-07,-2.10297119140625,3.5717757924479266e-07
36,1.7607359452602797e-06,7.738874904328141e-07,9.006055121099262e-07,-2.095341796875,9.006055121099262e-07
37,2.843809499507225e-06,1.4178609942119818e-06,1.781494374585283e-06,-2.08771240234375,1.781494374585283e-06
38,3.7222402006308924e-06,2.0878463232708114e-06,2.85902005003258e-06,-2.0800830078125,2.85902005003258e-06
39,3.921523044790801e-06,2.471664322426947e-06,3.735730733030667e-06,-2.07245361328125,3.735730733030667e-06
40,3.2597269641567467e-06,2.305499988714642e-06,3.938641192303828e-06,-2.06482421875,3.938641192303828e-06
41,2.0467682948105377e-06,1.6188176343062556e-06,3.282894623854912e-06,-2.05719482421875,3.282894623854912e-06
42,8.921275085443335e-07,7.82041554753619e-07,2.0747507020938467e-06,-2.0495654296875,2.0747507020938467e-06
43,3.1623063654882626e-07,2.656764230592712e-07,9.211622077987525e-07,-2.04193603515625,9.211622077987525e-07
44,5.216380042560958e-07,3.349067753020169e-07,3.390352191979841e-07,-2.034306640625,3.390352191979841e-07
45,1.413264977031044e-06,9.522797804071752e-07,5.244012540123074e-07,-2.02667724609375,5.244012540123074e-07
46,2.6873676903623283e-06,1.897912622333496e-06,1.374919327651532e-06,-2.0190478515625,1.374919327651532e-06
47,3.871888902342735e-06,2.90179143055042e-06,2.5850280104338774e-06,-2.01141845703125,2.5850280104338774e-06
48,4.43292642818847e-06,3.6605468488947887e-06,3.69197445839893e-06,-2.0037890625,3.69197445839893e-06
49,4.060563935328587e-06,3.852917143014827e-06,4.182509525183432e-06,-1.99615966796875,4.182509525183432e-06
50,2.9352587467296703e-06,3.3143718690009393e-06,3.771361760621154e-06,-1.9885302734375,3.771361760621154e-06
51,1.6291038333533026e-06,2.2462887366431273e-06,2.6554899701810915e-06,-1.98090087890625,2.6554899701810915e-06
52,6.679308593018178e-07,1.1419365573909648e-06,1.4057276585501982e-06,-1.973271484375,1.4057276585501982e-06
53,2.0217668461084203e-07,4.1759261317463466e-07,5.292785610020623e-07,-1.96564208984375,5.292785610020623e-07
54,7.330307717202904e-08,1.4348891302379329e-07,1.514998610596398e-07,-1.9580126953125,1.514998610596398e-07
55,7.607609843641296e-08,1.3382220395199967e-07,9.495658244023279e-08,-1.95038330078125,9.495658244023279e-08
56,1.0270576447935394e-07,1.9660775577549481e-07,1.4661211068923523e-07,-1.94275390625,1.4661211068923523e-07
57,1.2641618889673671e-07,2.4883355801398465e-07,1.991162557883542e-07,-1.93512451171875,1.991162557883542e-07
58,1.4692998414837392e-07,2.794821429262836e-07,2.3006614323677007e-07,-1.9274951171875,2.3006614323677007e-07
59,1.5973834370577683e-07,2.929762744503765e-07,2.44364730548718e-07,-1.91986572265625,2.44364730548718e-07
60,1.508368181083036e-07,2.854687278983961e-07,2.4064956880844874e-07,-1.912236328125,2.4064956880844874e-07
61,1.1403960284491783e-07,2.450465516746497e-07,2.0568543175314038e-07,-1.90460693359375,2.0568543175314038e-07
62,6.725220235756322e-08,1.719809265077434e-07,1.3623651392377608e-07,-1.8969775390625,1.3623651392377608e-07
63,4.1089387061016084e-08,9.500725093861625e-08,5.985853590529565e-08,-1.88934814453125,5.985853590529565e-08
64,5.3949179431795794e-08,5.3754747342752474e-08,2.059800554567048e-08,-1.88171875,2.059800554567048e-08
65,1.0330427573220777e-07,6.528324368913426e-08,4.531914534128972e-08,-1.87408935546875,4.531914534128972e-08
66,1.7309145858656028e-07,1.1509270183660115e-07,1.2950117875318498e-07,-1.8664599609375,1.2950117875318498e-07
67,2.407113868514254e-07,1.749730797087874e-07,2.4652256508630816e-07,-1.85883056640625,2.4652256508630816e-07
