,ka_hh,ka_vv,ka_hv,ka_vh,ka_range
0,0.020545354226413983,0.02342105466728843,0.023400885771806747,0.023400885771806747,-2.37
1,0.013771754128525548,0.020578089078195527,0.020559852553438965,0.020559852553438965,-2.36237060546875
2,0.006755017131300233,0.013794325063726546,0.013780980589607039,0.013780980589607039,-2.3547412109375
3,0.0021926231830718965,0.006766608397565107,0.006758976957685712,0.006758976957685712,-2.34711181640625
4,0.0003646879871320341,0.002196615290207418,0.002193449287879314,0.002193449287879314,-2.339482421875
5,4.210942335673749e-05,0.00036542993490151115,0.00036457877211374697,0.00036457877211374697,-2.33185302734375
6,8.159222481438929e-05,4.2373315497055295e-05,4.2119019287116224e-05,4.2119019287116224e-05,-2.3242236328125
7,7.299496493971544e-05,8.214306344400797e-05,8.181153619057923e-05,8.181153619057923e-05,-2.31659423828125
8,3.499840026044869e-05,7.357634687244689e-05,7.324355196005704e-05,7.324355196005704e-05,-2.30896484375
9,1.5686154285924662e-05,3.533151896794522e-05,3.5189224524830265e-05,3.5189224524830265e-05,-2.30133544921875
10,7.006891691549416e-06,1.5782512669170258e-05,1.5815021381980595e-05,1.5815021381980595e-05,-2.2937060546875
11,9.256864378250521e-07,7.001483288657621e-06,7.078237143116071e-06,7.078237143116071e-06,-2.28607666015625
12,1.231605314347017e-06,9.088729480205101e-07,9.476291469862223e-07,9.476291469862223e-07,-2.278447265625
13,6.2477427046163505e-06,1.255243393151057e-06,1.227717714639259e-06,1.227717714639259e-06,-2.27081787109375
14,9.944805614207689e-06,6.367327979486898e-06,6.24724323170467e-06,6.24724323170467e-06,-2.2631884765625
15,1.0109568800677031e-05,1.0185987448002976e-05,9.967108228466607e-06,9.967108228466607e-06,-2.25555908203125
16,8.091781423423972e-06,1.042780191389024e-05,1.0157424836267017e-05,1.0157424836267017e-05,-2.2479296875
17,5.9349748539199854e-06,8.406460378330915e-06,8.15397513963302e-06,8.15397513963302e-06,-2.24030029296875
18,5.215921313610813e-06,6.1951275356168405e-06,5.99806111042107e-06,5.99806111042107e-06,-2.2326708984375
19,6.02900871725736e-06,5.421757543982772e-06,5.2774445846837746e-06,5.2774445846837746e-06,-2.22504150390625
20,6.962847186144625e-06,6.209718058150198e-06,6.09867244972682e-06,6.09867244972682e-06,-2.217412109375
21,6.689136002938684e-06,7.149028433880181e-06,7.049595179150438e-06,7.049595179150438e-06,-2.20978271484375
22,5.123769956114754e-06,6.892260455277101e-06,6.788637350929849e-06,6.788637350929849e-06,-2.2021533203125
23,3.1754163698842606e-06,5.325003409928747e-06,5.219954795242604e-06,5.219954795242604e-06,-2.19452392578125
24,1.8771105824410073e-06,3.337537561460409e-06,3.2530995356423885e-06,3.2530995356423885e-06,-2.18689453125
25,1.5664817766933948e-06,1.977716297729887e-06,1.9314092624611973e-06,1.9314092624611973e-06,-2.17926513671875
26,1.6938213139825452e-06,1.6210876162643245e-06,1.600983094984122e-06,1.600983094984122e-06,-2.1716357421875
27,1.5491736414549593e-06,1.7428343586663439e-06,1.7133189875812447e-06,1.7133189875812447e-06,-2.16400634765625
28,1.0222255866627035e-06,1.6212140028050318e-06,1.5566315058722236e-06,1.5566315058722236e-06,-2.156376953125
29,4.709676853416294e-07,1.111266606540016e-06,1.0210486772208182e-06,1.0210486772208182e-06,-2.14874755859375
30,1.4631829939151213e-07,5.48432499063777e-07,4.664653504715097e-07,4.664653504715097e-07,-2.1411181640625
31,2.210330970537786e-08,1.91268159628083e-07,1.4331436663253267e-07,1.4331436663253267e-07,-2.13348876953125
32,4.895990080692649e-09,3.6360833327113854e-08,2.1966791072657454e-08,2.1966791072657454e-08,-2.125859375
33,8.582991420159359e-08,2.5725180182560923e-09,5.397308317518722e-09,5.397308317518722e-09,-2.11822998046875
34,3.401978579859855e-07,7.448018170140498e-08,8.30829073198929e-08,8.30829073198929e-08,-2.1106005859375
35,8.790615331322207e-07,3.0424984099045605e-07,3.3060984705936663e-07,3.3060984705936663e-07,-2.10297119140625
36,1.7596528454589517e-06,7.556283151491464e-07,8.610544169600545e-07,8.610544169600545e-07,-2.095341796875
37,2.8457163223699982e-06,1.4160256130586155e-06,1.7354673848100979e-06,1.7354673848100979e-06,-2.08771240234375
38,3.7406144808036414e-06,2.1110987711528745e-06,2.8222427035176573e-06,2.8222427035176573e-06,-2.0800830078125
39,3.964175938583835e-06,2.5226599225731526e-06,3.72787030478071e-06,3.72787030478071e-06,-2.07245361328125
40,3.3188651975337006e-06,2.377424228086154e-06,3.971426468758314e-06,3.971426468758314e-06,-2.06482421875
41,2.10308459824796e-06,1.6944704326163759e-06,3.349724020243395e-06,3.349724020243395e-06,-2.05719482421875
42,9.292795927782282e-07,8.393094787154854e-07,2.15165442242105e-06,2.15165442242105e-06,-2.0495654296875
43,3.3101367463356983e-07,2.8795387882895824e-07,9.795423086136627e-07,9.795423086136627e-07,-2.04193603515625
44,5.224852292430994e-07,3.19345567876057e-07,3.604787037015784e-07,3.604787037015784e-07,-2.034306640625
45,1.4134723555569482e-06,9.111959518483867e-07,5.087590092424966e-07,5.087590092424966e-07,-2.02667724609375
46,2.702053995746819e-06,1.8552280742574222e-06,1.3407825451543104e-06,1.3407825451543104e-06,-2.0190478515625
47,3.917791301736078e-06,2.887735832293839e-06,2.5650466929987916e-06,2.5650466929987916e-06,-2.01141845703125
48,4.522055168911318e-06,3.703129651722225e-06,3.721912045626273e-06,3.721912045626273e-06,-2.0037890625
49,4.186319602182971e-06,3.9632755911605135e-06,4.28236131515391e-06,4.28236131515391e-06,-1.99615966796875
50,3.066001966879931e-06,3.4723897180792973e-06,3.9268652238193335e-06,3.9268652238193335e-06,-1.9885302734375
51,1.7240571284274938e-06,2.4029852055299954e-06,2.8184502241491177e-06,2.8184502241491177e-06,-1.98090087890625
52,7.05922557305538e-07,1.2462116953330404e-06,1.5216204458001748e-06,1.5216204458001748e-06,-1.973271484375
53,1.9502180695190523e-07,4.4902000900442036e-07,5.729198310109899e-07,5.729198310109899e-07,-1.96564208984375
54,5.086298307520209e-08,1.2152179403187974e-07,1.3892685093405772e-07,1.3892685093405772e-07,-1.9580126953125
55,6.117738399656792e-08,9.61128285337231e-08,6.265872519116376e-08,6.265872519116376e-08,-1.95038330078125
56,1.0085155613657468e-07,1.6985684533320328e-07,1.2199369964661333e-07,1.2199369964661333e-07,-1.94275390625
57,1.329727894935808e-07,2.379410489143468e-07,1.891039507453942e-07,1.891039507453942e-07,-1.93512451171875
58,1.5635029653332994e-07,2.7649474250278966e-07,2.293182589766339e-07,2.293182589766339e-07,-1.9274951171875
59,1.6741056318798463e-07,2.8937975604188734e-07,2.462327589676327e-07,2.462327589676327e-07,-1.91986572265625
60,1.5232483632342894e-07,2.7675790474938245e-07,2.4068589546033764e-07,2.4068589546033764e-07,-1.912236328125
61,1.0761801441584319e-07,2.3016323242806045e-07,2.0138434549567418e-07,2.0138434549567418e-07,-1.90460693359375
62,5.679389868660565e-08,1.5324323524343208e-07,1.280757866812136e-07,1.280757866812136e-07,-1.8969775390625
63,3.364553166209272e-08,7.80091483918487e-08,5.172801806620227e-08,5.172801806620227e-08,-1.88934814453125
64,5.3251278792663015e-08,4.415465397641206e-08,1.6400030907498915e-08,1.6400030907498915e-08,-1.88171875
65,1.0599770017883737e-07,6.390141358194983e-08,4.413817109052043e-08,4.413817109052043e-08,-1.87408935546875
66,1.7155067898044e-07,1.1630178111770307e-07,1.2469855330959636e-07,1.2469855330959636e-07,-1.8664599609375
67,2.2971114077093444e-07,1.705490112174346e-07,2.303182283517623e-07,2.303182283517623e-07,-1.85883056640625
68,2.648865406309618e-07,2.0621710543316075e-07,3.287508197117409e-07,3.287508197117409e-07,-1.851201171875
69,2.7641976368929987e-07,2.1678088019953595e-07,3.8649113130533144e-07,3.8649113130533144e-07,-1.84357177734375
70,2.935563135046927e-07,2.0693968258796078e-07,3.7627118715656286e-07,3.7627118715656286e-07,-1.8359423828125
71,3.7145192100742047e-07,1.9187200416036007e-07,2.9745090063974693e-07,2.9745090063974693e-07,-1.82831298828125
72,5.508020780348694e-07,1.9230315606407138e-07,1.9331215185148108e-07,1.9331215185148108e-07,-1.82068359375
73,8.073280780790181e-07,2.1907965295109228e-07,1.3672166752566138e-07,1.3672166752566138e-07,-1.81305419921875
74,1.046096866359421e-06,2.5846446555245066e-07,1.8114751538734498e-07,1.8114751538734498e-07,-1.8054248046875
75,1.157499556718367e-06,2.782789213615732e-07,3.155997263847232e-07,3.155997263847232e-07,-1.79779541015625
76,1.0870725717731815e-06,2.546848503104916e-07,4.658736544295976e-07,4.658736544295976e-07,-1.790166015625
77,8.627030268501894e-07,1.938155737455209e-07,5.430562966022053e-07,5.430562966022053e-07,-1.78253662109375
78,5.697143239632341e-07,1.2726216688038073e-07,5.015466797031364e-07,5.015466797031364e-07,-1.7749072265625
79,3.0123572620799934e-07,8.73433623213209e-08,3.648413281631814e-07,3.648413281631814e-07,-1.76727783203125
80,1.1594382418983065e-07,8.431357743559867e-08,2.0208913745414404e-07,2.0208913745414404e-07,-1.7596484375
81,2.7197670560761547e-08,1.0327336943046133e-07,7.73048511523699e-08,7.73048511523699e-08,-1.75201904296875
82,2.5507383539142087e-08,1.2182115278564586e-07,1.8082556874463535e-08,1.8082556874463535e-08,-1.7443896484375
83,1.0404193415214636e-07,1.317100817656038e-07,2.7164453322906125e-08,2.7164453322906125e-08,-1.73676025390625
84,2.548860383054753e-07,1.4676917221905863e-07,1.0776275912578764e-07,1.0776275912578764e-07,-1.729130859375
85,4.4365265522654476e-07,1.957648976415687e-07,2.6101661251752234e-07,2.6101661251752234e-07,-1.72150146484375
86,6.0035204756029e-07,3.043620546075626e-07,4.580432658481468e-07,4.580432658481468e-07,-1.7138720703125
87,6.483545848777348e-07,4.642566127422889e-07,6.270920356784583e-07,6.270920356784583e-07,-1.70624267578125
88,5.550795727498229e-07,6.082533539403133e-07,6.832885914871194e-07,6.832885914871194e-07,-1.69861328125
89,3.6331088594297883e-07,6.3846756166095e-07,5.863091894324378e-07,5.863091894324378e-07,-1.69098388671875
90,1.684845587637848e-07,5.12338995560524e-07,3.7914924512869937e-07,3.7914924512869937e-07,-1.6833544921875
91,5.1676280267159786e-08,3.008861357292036e-07,1.6564049667325156e-07,1.6564049667325156e-07,-1.67572509765625
92,2.7502699861598577e-08,1.3757687597636348e-07,3.611787864737535e-08,3.611787864737535e-08,-1.668095703125
93,5.544972322715368e-08,1.0256735924728047e-07,7.95660199368726e-09,7.95660199368726e-09,-1.66046630859375
94,9.239174166489266e-08,1.6711705841450012e-07,3.603909908771352e-08,3.603909908771352e-08,-1.6528369140625
95,1.2370599201569627e-07,2.446948283067452e-07,7.078010959099444e-08,7.078010959099444e-08,-1.64520751953125
96,1.5073174453983424e-07,2.7439149608084494e-07,9.625169539128533e-08,9.625169539128533e-08,-1.637578125
97,1.681919959397393e-07,2.5200502133393086e-07,1.2017368645626454e-07,1.2017368645626454e-07,-1.62994873046875
98,1.6366654310775084e-07,2.0382141879947447e-07,1.4584076839564228e-07,1.4584076839564228e-07,-1.6223193359375
99,1.328471714312919e-07,1.5162238995918544e-07,1.6174912328558526e-07,1.6174912328558526e-07,-1.61468994140625
100,8.749656134387686e-08,1.0351520957212044e-07,1.52852956713309e-07,1.52852956713309e-07,-1.607060546875
101,4.7454573535795915e-08,6.564401036374668e-08,1.1640203377676211e-07,1.1640203377676211e-07,-1.59943115234375
102,2.5961670196725832e-08,4.959079343862763e-08,6.684708923614913e-08,6.684708923614913e-08,-1.5918017578125
103,2.1937938668258588e-08,6.259477138866934e-08,2.6080733267831885e-08,2.6080733267831885e-08,-1.58417236328125
104,2.4829239706466758e-08,9.419829983222478e-08,8.162729125825075e-09,8.162729125825075e-09,-1.57654296875
105,2.563988941089218e-08,1.197310400174769e-07,1.2151565341872978e-08,1.2151565341872978e-08,-1.56891357421875
106,2.3048164749577696e-08,1.1953723522338898e-07,2.730031524375194e-08,2.730031524375194e-08,-1.5612841796875
107,2.0567888306161892e-08,9.335685005427354e-08,4.263856398849703e-08,4.263856398849703e-08,-1.55365478515625
108,2.0409429458730153e-08,5.680893118380442e-08,5.209649215008737e-08,5.209649215008737e-08,-1.546025390625
109,2.0975603055803667e-08,2.735349018200508e-08,5.429730648897938e-08,5.429730648897938e-08,-1.53839599609375
110,1.9043378357552134e-08,1.4056943048895018e-08,5.080855772651828e-08,5.080855772651828e-08,-1.5307666015625
111,1.335375538047735e-08,1.664750035483218e-08,4.481610824632657e-08,4.481610824632657e-08,-1.52313720703125
112,6.732819123985274e-09,3.016364841780266e-08,3.9858975242265824e-08,3.9858975242265824e-08,-1.5155078125
113,5.4253253132106824e-09,5.01659674324198e-08,3.870757622212351e-08,3.870757622212351e-08,-1.50787841796875
114,1.5101561571438877e-08,7.593489839522404e-08,4.299517501122348e-08,4.299517501122348e-08,-1.5002490234375
115,3.521110824597353e-08,1.1020886642029555e-07,5.294657884146198e-08,5.294657884146198e-08,-1.49261962890625
116,5.679182702607579e-08,1.5439622647589464e-07,6.613366359932798e-08,6.613366359932798e-08,-1.484990234375
117,6.78869856485424e-08,2.0112150421202976e-07,7.66402077356206e-08,7.66402077356206e-08,-1.47736083984375
118,6.301312647296516e-08,2.3109537810534733e-07,7.761535480415133e-08,7.761535480415133e-08,-1.4697314453125
119,4.714563313781745e-08,2.2209942275921252e-07,6.661916779487048e-08,6.661916779487048e-08,-1.46210205078125
120,3.0041028451971936e-08,1.6835451119359806e-07,4.8265005119089286e-08,4.8265005119089286e-08,-1.45447265625
121,1.798947953233305e-08,9.458801508090744e-08,3.054867073799817e-08,3.054867073799817e-08,-1.44684326171875
122,1.2023919850683098e-08,4.747885689330741e-08,1.8809120516214107e-08,1.8809120516214107e-08,-1.4392138671875
123,1.1830080025198075e-08,6.552488631908154e-08,1.386080452438091e-08,1.386080452438091e-08,-1.43158447265625
124,1.7805009778836666e-08,1.503266212570143e-07,1.465929957203779e-08,1.465929957203779e-08,-1.423955078125
125,2.878590580154996e-08,2.633666090628937e-07,2.035482826904475e-08,2.035482826904475e-08,-1.41632568359375
126,4.034936895822955e-08,3.503871715939573e-07,2.93066461754169e-08,2.93066461754169e-08,-1.4086962890625
127,4.720570005265756e-08,3.7350705123573203e-07,3.799113816472202e-08,3.799113816472202e-08,-1.40106689453125
128,4.681778843129053e-08,3.291411601474486e-07,4.247614079293056e-08,4.247614079293056e-08,-1.3934375
129,3.993961498934187e-08,2.4395467751701354e-07,4.0872323228674356e-08,4.0872323228674356e-08,-1.38580810546875
130,2.8525200418073205e-08,1.5558389865782744e-07,3.383156690270119e-08,3.383156690270119e-08,-1.3781787109375
131,1.509529528965484e-08,9.133752574393835e-08,2.3300769210331235e-08,2.3300769210331235e-08,-1.37054931640625
132,4.701942806022747e-09,5.7278658064213154e-08,1.2420881965615586e-08,1.2420881965615586e-08,-1.362919921875
133,4.831738609302937e-09,4.293839413630752e-08,7.103568609026661e-09,7.103568609026661e-09,-1.35529052734375
134,1.947485478650005e-08,3.544666805974333e-08,1.5016390737803624e-08,1.5016390737803624e-08,-1.3476611328125
135,4.260008699121817e-08,2.985940014922007e-08,3.891281252269813e-08,3.891281252269813e-08,-1.34003173828125
136,6.061352865239712e-08,2.811902418000042e-08,7.007784358700987e-08,7.007784358700987e-08,-1.33240234375
137,6.364454245217944e-08,3.178553291526692e-08,9.179324443574032e-08,9.179324443574032e-08,-1.32477294921875
138,5.352672633252875e-08,3.848936039422868e-08,9.24370062251725e-08,9.24370062251725e-08,-1.3171435546875
139,3.982991865055328e-08,4.46227407015994e-08,7.482697780501345e-08,7.482697780501345e-08,-1.30951416015625
140,2.990231002374286e-08,4.8783996510585803e-08,5.172867678517457e-08,5.172867678517457e-08,-1.301884765625
