,ku_hh,ku_vv,ku_hv,ku_vh,ku_range
0,0.02053185874671585,0.023416187978158285,0.023328893788149587,0.023328893788149587,-2.37
1,0.01376085881578845,0.02057301500313511,0.0204966427696478,0.0204966427696478,-2.36237060546875
2,0.00674784524850018,0.013789330774934409,0.013738807641804502,0.013738807641804502,-2.3547412109375
3,0.0021889509619651415,0.006762924915457238,0.006738704958935276,0.006738704958935276,-2.34711181640625
4,0.0003630377524999567,0.002194989567769377,0.0021873539696696193,0.0021873539696696193,-2.339482421875
5,4.095661023135561e-05,0.00036510468728649057,0.00036382049144574016,0.00036382049144574016,-2.33185302734375
6,8.04253549350879e-05,4.193869467401616e-05,4.180537776315827e-05,4.180537776315827e-05,-2.3242236328125
7,7.21459377509406e-05,8.10408300291806e-05,8.101300099127632e-05,8.101300099127632e-05,-2.31659423828125
8,3.475260520511344e-05,7.235008583018345e-05,7.25183121813562e-05,7.25183121813562e-05,-2.30896484375
9,1.5853933442545195e-05,3.465105575823159e-05,3.4859427214804236e-05,3.4859427214804236e-05,-2.30133544921875
10,7.21492966405137e-06,1.570094969377065e-05,1.5762074634363254e-05,1.5762074634363254e-05,-2.2937060546875
11,9.865925948411675e-07,7.138045712797632e-06,7.103184920327527e-06,7.103184920327527e-06,-2.28607666015625
12,1.167906191626304e-06,9.59308776077384e-07,9.518350464801494e-07,9.518350464801494e-07,-2.278447265625
13,6.143503702468091e-06,1.1684249804245347e-06,1.196083560137382e-06,1.196083560137382e-06,-2.27081787109375
14,9.86612252500153e-06,6.21656071322592e-06,6.203951189801722e-06,6.203951189801722e-06,-2.2631884765625
15,1.0085055419381299e-05,1.003737022638842e-05,9.941600557570788e-06,9.941600557570788e-06,-2.25555908203125
16,8.098216245946601e-06,1.0302683350676117e-05,1.0155978689096636e-05,1.0155978689096636e-05,-2.2479296875
17,5.922030819542875e-06,8.289132560422747e-06,8.158265593420899e-06,8.158265593420899e-06,-2.24030029296875
18,5.165809538988191e-06,6.060332845842959e-06,5.989112615950386e-06,5.989112615950386e-06,-2.2326708984375
19,5.972240320340057e-06,5.266715991377474e-06,5.252625147876185e-06,5.252625147876185e-06,-2.22504150390625
20,6.9307270320150765e-06,6.060541465204534e-06,6.066689318960989e-06,6.066689318960989e-06,-2.217412109375
21,6.676689316094454e-06,7.03835425338472e-06,7.018657526072821e-06,7.018657526072821e-06,-2.20978271484375
22,5.108457039543878e-06,6.835239300923086e-06,6.762579158596841e-06,6.762579158596841e-06,-2.2021533203125
23,3.1506341476775656e-06,5.3124403401410254e-06,5.199297130440505e-06,5.199297130440505e-06,-2.19452392578125
24,1.8527944827227804e-06,3.3459159611163457e-06,3.2338829665551313e-06,3.2338829665551313e-06,-2.18689453125
25,1.5485882104845413e-06,1.98661266942871e-06,1.9048072479143006e-06,1.9048072479143006e-06,-2.17926513671875
26,1.6780939131319386e-06,1.6237126926509354e-06,1.55982208197851e-06,1.55982208197851e-06,-2.1716357421875
27,1.5324013186084317e-06,1.7421400838609476e-06,1.661009454910799e-06,1.661009454910799e-06,-2.16400634765625
28,1.0086588446768032e-06,1.6205675497432137e-06,1.50705572646509e-06,1.50705572646509e-06,-2.156376953125
29,4.654101774347954e-07,1.1114136647314721e-06,9.876227785026521e-07,9.876227785026521e-07,-2.14874755859375
30,1.4701686730694824e-07,5.493796835722601e-07,4.5208245356210855e-07,4.5208245356210855e-07,-2.1411181640625
31,2.3419333042941814e-08,1.9274310054796106e-07,1.4107411261272044e-07,1.4107411261272044e-07,-2.13348876953125
32,3.835867324478472e-09,3.7340925027729036e-08,2.3158063884644385e-08,2.3158063884644385e-08,-2.125859375
33,8.377809638724601e-08,2.352526611623048e-09,5.097514833915914e-09,5.097514833915914e-09,-2.11822998046875
34,3.399060692758449e-07,7.376603154336082e-08,8.00673564210142e-08,8.00673564210142e-08,-2.1106005859375
35,8.807482373104044e-07,3.047930119043095e-07,3.2491198801231673e-07,3.2491198801231673e-07,-2.10297119140625
36,1.7586965074680695e-06,7.592708269977804e-07,8.522420577592194e-07,8.522420577592194e-07,-2.095341796875
37,2.834933502352346e-06,1.4237298520026289e-06,1.722478522095195e-06,1.722478522095195e-06,-2.08771240234375
38,3.717755101722371e-06,2.1224066290276133e-06,2.8050165797865107e-06,2.8050165797865107e-06,-2.0800830078125
39,3.9374259432769564e-06,2.5366336198780056e-06,3.709519583059056e-06,3.709519583059056e-06,-2.07245361328125
40,3.3020575808640574e-06,2.39412958518535e-06,3.957951037376772e-06,3.957951037376772e-06,-2.06482421875
41,2.103667359790226e-06,1.7143716607613968e-06,3.346258508669986e-06,3.346258508669986e-06,-2.05719482421875
42,9.411932359278611e-07,8.607041491822004e-07,2.158403997255132e-06,2.158403997255132e-06,-2.0495654296875
43,3.392965091308746e-07,3.0557071846680283e-07,9.911789213413604e-07,9.911789213413604e-07,-2.04193603515625
44,5.146979001535072e-07,3.25778362303282e-07,3.6927848235941014e-07,3.6927848235941014e-07,-2.034306640625
45,1.3882332934034211e-06,9.000195676934563e-07,5.087709064120528e-07,5.087709064120528e-07,-2.02667724609375
46,2.6690819631002526e-06,1.8239913758379426e-06,1.3303799140740861e-06,1.3303799140740861e-06,-2.0190478515625
47,3.890961074029901e-06,2.839479014281533e-06,2.5470549029598525e-06,2.5470549029598525e-06,-2.01141845703125
48,4.51136852305735e-06,3.6457794349425677e-06,3.7020728384288037e-06,3.7020728384288037e-06,-2.0037890625
49,4.193788058207375e-06,3.907398654133693e-06,4.267060294914969e-06,4.267060294914969e-06,-1.99615966796875
50,3.086372750363025e-06,3.428017526498509e-06,3.920437561457044e-06,3.920437561457044e-06,-1.9885302734375
51,1.7485125367384738e-06,2.3758701115653624e-06,2.8208312369256126e-06,2.8208312369256126e-06,-1.98090087890625
52,7.264756815485475e-07,1.2352002503579143e-06,1.528313451243519e-06,1.528313451243519e-06,-1.973271484375
53,2.075986084282522e-07,4.473872450375864e-07,5.782499236341683e-07,5.782499236341683e-07,-1.96564208984375
54,5.5774235933597503e-08,1.2209530293339213e-07,1.4012634066307103e-07,1.4012634066307103e-07,-1.9580126953125
55,6.133419359386668e-08,9.565547923375758e-08,6.100577102046866e-08,6.100577102046866e-08,-1.95038330078125
56,9.938170219618534e-08,1.6908873233548664e-07,1.2043485478284358e-07,1.2043485478284358e-07,-1.94275390625
57,1.317152911473358e-07,2.3866038605422267e-07,1.894050231647626e-07,1.894050231647626e-07,-1.93512451171875
58,1.557370494413393e-07,2.793659656916429e-07,2.312702700853338e-07,2.312702700853338e-07,-1.9274951171875
